project_id,project_name,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,gc_name,architect,engineer_of_record,total_estimated_budget,budget_coverage
PRJ-2020-162,Denver Corporate Campus - HVAC Systems,29697000,2020-02-26,2020-11-16,0.1,Net 30,Turner Construction,Gensler,Henderson Engineers,32260064.799,1.086
PRJ-2020-163,Nashville High School - New Construction,7125000,2020-01-01,2022-02-16,0.1,Net 30,Mortenson,HKS,WSP,8049174.879,1.13
PRJ-2020-164,Richmond Cloud Campus Phase 1 - Cooling,7029000,2020-02-03,2021-06-20,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,7549031.192,1.074
PRJ-2020-165,Salt Lake City Senior Living - HVAC Upgrade,8448000,2020-02-27,2022-02-06,0.1,Net 30,JE Dunn,Perkins&Will,Henderson Engineers,8865840.283,1.049
PRJ-2020-166,Portland Medical Campus - New HVAC Installation,52683000,2020-01-26,2021-10-16,0.1,Net 30,Turner Construction,SmithGroup,ARUP,59744277.674,1.134
PRJ-2020-167,Minneapolis Mixed-Use Tower - Mechanical,10960000,2020-01-01,2021-06-09,0.1,Net 30,Turner Construction,Perkins&Will,Syska Hennessy,11261003.550999999,1.027
PRJ-2020-168,Cincinnati High School - New Construction,7650000,2020-01-22,2020-10-10,0.1,Net 30,JE Dunn,Gensler,AEI,8391060.527,1.097
PRJ-2020-169,Portland Colocation Facility - HVAC,10657000,2020-01-23,2021-01-02,0.1,Net 30,Skanska USA,SmithGroup,Syska Hennessy,11828899.09,1.11
PRJ-2020-170,Minneapolis Residential Tower - HVAC Systems,4816000,2020-02-15,2020-08-17,0.1,Net 30,JE Dunn,Perkins&Will,Henderson Engineers,5169419.454,1.073
PRJ-2020-171,Las Vegas Surgery Center - Climate Control,5525000,2020-02-03,2020-09-20,0.1,Net 30,Skanska USA,Gensler,ARUP,5587731.449,1.011
PRJ-2020-172,Boston Business Center - MEP Systems,4940000,2020-03-23,2021-09-05,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,5593144.169,1.132
PRJ-2020-173,Boston Middle School - HVAC Systems,3384000,2020-03-11,2021-03-27,0.1,Net 30,Skanska USA,SmithGroup,AEI,3594762.245,1.062
PRJ-2020-174,Louisville Cloud Campus Phase 1 - Cooling,8026000,2020-03-23,2021-12-09,0.1,Net 30,JE Dunn,Perkins&Will,WSP,9036076.841,1.126
PRJ-2020-175,Baltimore Senior Living - HVAC Upgrade,21782000,2020-01-13,2021-05-01,0.1,Net 30,DPR Construction,HKS,AEI,22657537.806,1.04
PRJ-2020-176,Chicago Regional Medical Center - HVAC Upgrade,29701000,2020-03-06,2021-08-03,0.1,Net 30,Skanska USA,SmithGroup,Henderson Engineers,32980212.29,1.11
PRJ-2020-177,Atlanta Corporate Campus - HVAC Systems,11218000,2020-02-25,2021-01-22,0.1,Net 30,Turner Construction,Gensler,WSP,11593900.172,1.034
PRJ-2020-178,Houston High School - New Construction,13653000,2020-01-30,2020-11-27,0.1,Net 30,DPR Construction,Gensler,AEI,13863230.047,1.015
PRJ-2020-179,Louisville Edge Data Center - Thermal Management,22670000,2020-03-14,2022-05-10,0.1,Net 30,DPR Construction,HKS,WSP,22585124.363,0.996
PRJ-2020-180,Kansas City Senior Living - HVAC Upgrade,8550000,2020-01-20,2022-01-17,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,9209259.46,1.077
PRJ-2020-181,Oklahoma City Medical Campus - New HVAC Installation,37213000,2020-03-07,2021-07-15,0.1,Net 30,Skanska USA,Perkins&Will,ARUP,43328150.258,1.164
PRJ-2020-182,Houston Office Park - Core & Shell MEP,7358000,2020-03-22,2021-09-07,0.1,Net 30,JE Dunn,HKS,ARUP,7632378.381,1.037
PRJ-2020-183,Kansas City Elementary Campus - Climate Systems,14144000,2020-02-14,2022-05-14,0.1,Net 30,Turner Construction,SmithGroup,Henderson Engineers,15686929.773,1.109
PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,5820000,2020-01-26,2022-04-30,0.1,Net 30,Skanska USA,Gensler,ARUP,5867160.818,1.008
PRJ-2020-185,Baltimore Apartment Complex - MEP,3792000,2020-03-24,2021-10-09,0.1,Net 30,DPR Construction,HKS,ARUP,4145768.447,1.093
PRJ-2020-186,Atlanta Medical Campus - New HVAC Installation,27278000,2020-01-20,2021-03-04,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,29505725.791,1.082
PRJ-2020-187,Las Vegas Corporate Campus - HVAC Systems,10850000,2020-02-08,2021-07-29,0.1,Net 30,DPR Construction,HOK,ARUP,11813076.1,1.089
PRJ-2020-188,Kansas City Unified School District - HVAC Modernization,7817000,2020-01-23,2021-07-01,0.1,Net 30,Skanska USA,HOK,WSP,8750561.851,1.119
PRJ-2020-189,Salt Lake City Colocation Facility - HVAC,25784000,2020-02-28,2022-01-31,0.1,Net 30,DPR Construction,HOK,Henderson Engineers,27360924.14,1.061
PRJ-2020-190,Oklahoma City Residential Tower - HVAC Systems,6390000,2020-01-03,2021-01-22,0.1,Net 30,Skanska USA,Perkins&Will,Henderson Engineers,6418822.867,1.005
PRJ-2020-191,Phoenix Medical Campus - New HVAC Installation,46534000,2020-03-05,2020-12-12,0.1,Net 30,DPR Construction,SmithGroup,ARUP,47374702.572,1.018
PRJ-2020-192,Houston Corporate Campus - HVAC Systems,16402000,2020-01-17,2021-09-13,0.1,Net 30,DPR Construction,Perkins&Will,AEI,19134415.755,1.167
PRJ-2020-193,Boston Middle School - HVAC Systems,14923000,2020-03-09,2022-04-09,0.1,Net 30,JE Dunn,SmithGroup,WSP,14495747.326,0.971
PRJ-2020-194,Salt Lake City Data Center - Precision Cooling Systems,19531000,2020-02-03,2020-11-10,0.1,Net 30,JE Dunn,HOK,Henderson Engineers,21446822.747,1.098
PRJ-2020-195,San Antonio Senior Living - HVAC Upgrade,16764000,2020-03-05,2021-07-03,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,17872133.291,1.066
PRJ-2020-196,Baltimore Surgery Center - Climate Control,35312000,2020-01-08,2021-10-25,0.1,Net 30,Mortenson,Gensler,WSP,36881047.308,1.044
PRJ-2020-197,Chicago Corporate Campus - HVAC Systems,2640000,2020-02-11,2020-12-28,0.1,Net 30,JE Dunn,HOK,AEI,2826330.546,1.071
PRJ-2020-198,Minneapolis Elementary Campus - Climate Systems,10617000,2020-03-22,2021-04-05,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,12025243.835,1.133
PRJ-2020-199,Cincinnati Data Center - Precision Cooling Systems,17456000,2020-01-09,2021-05-14,0.1,Net 30,Skanska USA,SmithGroup,Henderson Engineers,19198670.417,1.1
PRJ-2020-200,Boston Senior Living - HVAC Upgrade,4488000,2020-01-03,2021-01-23,0.1,Net 30,JE Dunn,HOK,WSP,5087574.277,1.134
PRJ-2020-201,Raleigh Regional Medical Center - HVAC Upgrade,43769000,2020-01-04,2021-05-31,0.1,Net 30,DPR Construction,HOK,WSP,50250987.014,1.148
PRJ-2020-202,Salt Lake City Corporate Campus - HVAC Systems,27217000,2020-02-05,2022-03-24,0.1,Net 30,DPR Construction,HKS,AEI,26546788.733,0.975
PRJ-2020-203,San Antonio High School - New Construction,4570000,2020-01-21,2022-04-22,0.1,Net 30,DPR Construction,HKS,ARUP,3663720.657,0.802
PRJ-2020-204,Sacramento Edge Data Center - Thermal Management,22017000,2020-02-17,2021-03-18,0.1,Net 30,Turner Construction,HOK,Syska Hennessy,23506016.95,1.068
PRJ-2020-205,Atlanta Apartment Complex - MEP,7258000,2020-01-28,2022-02-25,0.1,Net 30,Turner Construction,HOK,WSP,7993369.058,1.101
PRJ-2020-206,Pittsburgh Medical Campus - New HVAC Installation,19628000,2020-02-21,2021-06-23,0.1,Net 30,Skanska USA,Gensler,WSP,21557322.55,1.098
PRJ-2020-207,Salt Lake City Office Park - Core & Shell MEP,3989000,2020-03-13,2020-10-31,0.1,Net 30,Mortenson,Perkins&Will,WSP,4305882.661,1.079
PRJ-2020-208,Louisville High School - New Construction,13209000,2020-01-17,2021-10-17,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,14908987.917,1.129
PRJ-2020-209,Phoenix Cloud Campus Phase 1 - Cooling,13910000,2020-01-31,2021-10-16,0.1,Net 30,JE Dunn,Perkins&Will,AEI,15798377.193,1.136
PRJ-2020-210,Boston Apartment Complex - MEP,15485000,2020-02-23,2020-12-23,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,16705481.09,1.079
PRJ-2020-211,Las Vegas Regional Medical Center - HVAC Upgrade,39163000,2020-01-03,2021-06-18,0.1,Net 30,JE Dunn,HOK,AEI,37537165.223,0.958
PRJ-2020-212,Oklahoma City Corporate Campus - HVAC Systems,31617000,2020-01-07,2022-01-16,0.1,Net 30,JE Dunn,Perkins&Will,AEI,34863137.694,1.103
PRJ-2020-213,Richmond Middle School - HVAC Systems,3162000,2020-01-03,2021-03-04,0.1,Net 30,Mortenson,Perkins&Will,ARUP,3612284.287,1.142
PRJ-2020-214,Raleigh Edge Data Center - Thermal Management,12266000,2020-01-15,2021-02-06,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,12243295.769,0.998
PRJ-2020-215,Phoenix Residential Tower - HVAC Systems,25173000,2020-03-11,2021-08-29,0.1,Net 30,Skanska USA,Gensler,AEI,26837102.589,1.066
PRJ-2020-216,Kansas City Surgery Center - Climate Control,50756000,2020-02-18,2021-08-30,0.1,Net 30,JE Dunn,HOK,AEI,52700694.78,1.038
PRJ-2020-217,Boston Corporate Campus - HVAC Systems,4321000,2020-01-29,2021-01-23,0.1,Net 30,Skanska USA,SmithGroup,WSP,4659074.371,1.078
PRJ-2020-218,Portland Middle School - HVAC Systems,10797000,2020-03-11,2021-11-09,0.1,Net 30,JE Dunn,Perkins&Will,ARUP,10910600.076,1.011
PRJ-2020-219,Denver Cloud Campus Phase 1 - Cooling,26976000,2020-02-10,2021-09-30,0.1,Net 30,Mortenson,Gensler,AEI,28771934.348,1.067
PRJ-2020-220,Portland Apartment Complex - MEP,16642000,2020-01-16,2021-12-21,0.1,Net 30,Skanska USA,HOK,Henderson Engineers,18020917.726,1.083
PRJ-2020-221,Kansas City Regional Medical Center - HVAC Upgrade,13847000,2020-02-04,2021-09-17,0.1,Net 30,DPR Construction,SmithGroup,ARUP,14346579.721,1.036
PRJ-2020-222,Oklahoma City Corporate Campus - HVAC Systems,10170000,2020-02-23,2022-01-06,0.1,Net 30,Skanska USA,SmithGroup,ARUP,9999973.951,0.983
PRJ-2020-223,Atlanta High School - New Construction,7827000,2020-01-25,2021-02-04,0.1,Net 30,DPR Construction,Gensler,AEI,8180626.161,1.045
PRJ-2020-224,San Antonio Edge Data Center - Thermal Management,17418000,2020-03-10,2021-05-25,0.1,Net 30,Skanska USA,HOK,ARUP,19239764.336,1.105
PRJ-2020-225,Salt Lake City Residential Tower - HVAC Systems,5017000,2020-02-04,2021-08-26,0.1,Net 30,JE Dunn,Gensler,ARUP,5449354.385,1.086
PRJ-2020-226,Nashville Regional Medical Center - HVAC Upgrade,52146000,2020-03-06,2021-09-07,0.1,Net 30,Turner Construction,SmithGroup,AEI,55900125.757,1.072
PRJ-2020-227,Phoenix Mixed-Use Tower - Mechanical,27835000,2020-03-07,2021-06-30,0.1,Net 30,Mortenson,SmithGroup,Henderson Engineers,28699773.625,1.031
PRJ-2020-228,Oklahoma City Unified School District - HVAC Modernization,8395000,2020-01-24,2021-05-31,0.1,Net 30,JE Dunn,HKS,AEI,8822791.564,1.051
PRJ-2020-229,Denver Colocation Facility - HVAC,7202000,2020-01-25,2021-01-07,0.1,Net 30,Mortenson,HKS,Syska Hennessy,7726554.739,1.073
PRJ-2020-230,Atlanta Residential Tower - HVAC Systems,6912000,2020-02-13,2020-12-10,0.1,Net 30,DPR Construction,Gensler,Syska Hennessy,7811488.777,1.13
PRJ-2020-231,Houston Medical Campus - New HVAC Installation,11391000,2020-01-08,2021-08-25,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,11681015.575,1.025
PRJ-2020-232,Minneapolis Corporate Campus - HVAC Systems,7301000,2020-03-14,2021-09-15,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,7586860.028,1.039
PRJ-2020-233,Kansas City Middle School - HVAC Systems,4218000,2020-01-26,2021-06-22,0.1,Net 30,Skanska USA,HKS,AEI,4432719.359,1.051
PRJ-2020-234,Pittsburgh Cloud Campus Phase 1 - Cooling,18348000,2020-01-09,2021-02-04,0.1,Net 30,DPR Construction,SmithGroup,ARUP,19507182.723,1.063
PRJ-2020-235,Oklahoma City Senior Living - HVAC Upgrade,17688000,2020-02-02,2021-11-08,0.1,Net 30,Skanska USA,HKS,WSP,19427853.131,1.098
PRJ-2020-236,Denver Regional Medical Center - HVAC Upgrade,12168000,2020-01-08,2020-11-16,0.1,Net 30,Turner Construction,HKS,AEI,13061417.957,1.073
PRJ-2020-237,Sacramento Business Center - MEP Systems,33680000,2020-03-15,2021-06-10,0.1,Net 30,Skanska USA,HKS,Syska Hennessy,33647405.685,0.999
PRJ-2020-238,Nashville Middle School - HVAC Systems,9628000,2020-01-15,2021-03-26,0.1,Net 30,Turner Construction,SmithGroup,Henderson Engineers,9919426.995000001,1.03
PRJ-2020-239,Nashville Edge Data Center - Thermal Management,25204000,2020-02-12,2021-04-27,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,27044395.647,1.073
PRJ-2020-240,Atlanta Residential Tower - HVAC Systems,8580000,2020-03-10,2021-09-22,0.1,Net 30,JE Dunn,HKS,Syska Hennessy,9178553.355,1.07
PRJ-2021-241,Portland Hospital - Mechanical Systems Renovation,21326000,2021-01-26,2022-08-15,0.1,Net 30,Mortenson,HKS,Henderson Engineers,22278398.96,1.045
PRJ-2021-242,Sacramento Office Park - Core & Shell MEP,12997000,2021-02-06,2022-06-27,0.1,Net 30,Turner Construction,HKS,ARUP,14020937.204,1.079
PRJ-2021-243,Columbus Middle School - HVAC Systems,3832000,2021-01-31,2022-09-14,0.1,Net 30,Mortenson,SmithGroup,Syska Hennessy,4450418.171,1.161
PRJ-2021-244,Minneapolis Colocation Facility - HVAC,13475000,2021-02-03,2022-08-30,0.1,Net 30,Turner Construction,Gensler,Henderson Engineers,14464946.594,1.073
PRJ-2021-245,Phoenix Residential Tower - HVAC Systems,9375000,2021-01-20,2022-01-02,0.1,Net 30,Mortenson,HKS,WSP,11116480.899,1.186
PRJ-2021-246,San Antonio Hospital - Mechanical Systems Renovation,9501000,2021-03-23,2022-12-21,0.1,Net 30,DPR Construction,Perkins&Will,WSP,10310902.735,1.085
PRJ-2021-247,Columbus Business Center - MEP Systems,16914000,2021-02-17,2021-12-13,0.1,Net 30,JE Dunn,HKS,Syska Hennessy,16697149.697999999,0.987
PRJ-2021-248,San Antonio Elementary Campus - Climate Systems,10337000,2021-01-01,2022-02-22,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,10788510.467,1.044
PRJ-2021-249,Cincinnati Edge Data Center - Thermal Management,22257000,2021-02-14,2022-08-23,0.1,Net 30,DPR Construction,SmithGroup,WSP,25385439.276,1.141
PRJ-2021-250,Sacramento Senior Living - HVAC Upgrade,13401000,2021-03-27,2022-07-09,0.1,Net 30,DPR Construction,SmithGroup,WSP,15330705.047,1.144
PRJ-2021-251,Raleigh Surgery Center - Climate Control,37123000,2021-01-01,2022-11-25,0.1,Net 30,Skanska USA,Perkins&Will,Syska Hennessy,35883273.838,0.967
PRJ-2021-252,Raleigh Office Park - Core & Shell MEP,16141000,2021-03-09,2022-02-05,0.1,Net 30,Skanska USA,Gensler,AEI,18765831.399,1.163
PRJ-2021-253,Oklahoma City Elementary Campus - Climate Systems,15036000,2021-03-24,2023-02-27,0.1,Net 30,Turner Construction,HKS,WSP,16008047.076,1.065
PRJ-2021-254,Baltimore Edge Data Center - Thermal Management,7049000,2021-01-31,2022-06-17,0.1,Net 30,Mortenson,SmithGroup,ARUP,7423947.72,1.053
PRJ-2021-255,Louisville Apartment Complex - MEP,10826000,2021-03-06,2021-12-25,0.1,Net 30,Mortenson,SmithGroup,Syska Hennessy,10705808.625,0.989
PRJ-2021-256,Minneapolis Surgery Center - Climate Control,27189000,2021-03-12,2022-06-04,0.1,Net 30,Mortenson,HOK,ARUP,28904604.343,1.063
PRJ-2021-257,San Antonio Office Park - Core & Shell MEP,22625000,2021-02-17,2023-01-28,0.1,Net 30,DPR Construction,SmithGroup,AEI,24603324.605,1.087
PRJ-2021-258,Portland Unified School District - HVAC Modernization,6385000,2021-02-08,2022-02-20,0.1,Net 30,Turner Construction,HOK,Syska Hennessy,6504975.704,1.019
PRJ-2021-259,Atlanta Colocation Facility - HVAC,11725000,2021-03-02,2022-09-17,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,11382962.892,0.971
PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,2608000,2021-03-20,2023-03-06,0.1,Net 30,Mortenson,Perkins&Will,Syska Hennessy,1775613.855,0.681
PRJ-2021-261,Raleigh Medical Campus - New HVAC Installation,24629000,2021-02-21,2021-12-20,0.1,Net 30,DPR Construction,HKS,ARUP,26099598.28,1.06
PRJ-2021-262,Richmond Office Park - Core & Shell MEP,25551000,2021-01-04,2022-05-03,0.1,Net 30,Skanska USA,HOK,WSP,27115224.871,1.061
PRJ-2021-263,Phoenix Elementary Campus - Climate Systems,9504000,2021-01-04,2021-12-09,0.1,Net 30,DPR Construction,HOK,WSP,9288196.697,0.977
PRJ-2021-264,Boston Edge Data Center - Thermal Management,19784000,2021-03-22,2023-05-10,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,22395394.573,1.132
PRJ-2021-265,Salt Lake City Senior Living - HVAC Upgrade,5721000,2021-01-28,2022-05-07,0.1,Net 30,Mortenson,SmithGroup,AEI,5938555.813,1.038
PRJ-2021-266,Salt Lake City Surgery Center - Climate Control,14520000,2021-03-22,2022-05-22,0.1,Net 30,Skanska USA,SmithGroup,Syska Hennessy,15493694.953,1.067
PRJ-2021-267,Raleigh Corporate Campus - HVAC Systems,11491000,2021-01-28,2022-12-17,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,11906692.087,1.036
PRJ-2021-268,Raleigh Unified School District - HVAC Modernization,2795000,2021-03-21,2021-12-06,0.1,Net 30,Mortenson,SmithGroup,ARUP,2812951.892,1.006
PRJ-2021-269,Indianapolis Edge Data Center - Thermal Management,5968000,2021-03-04,2023-01-21,0.1,Net 30,DPR Construction,Gensler,ARUP,5853874.381,0.981
PRJ-2021-270,Richmond Apartment Complex - MEP,10208000,2021-02-12,2022-08-29,0.1,Net 30,Mortenson,HKS,AEI,11582901.393,1.135
PRJ-2021-271,Atlanta Regional Medical Center - HVAC Upgrade,37774000,2021-01-08,2022-10-13,0.1,Net 30,Skanska USA,HOK,Henderson Engineers,36780266.467,0.974
PRJ-2021-272,Denver Business Center - MEP Systems,3248000,2021-03-27,2021-11-13,0.1,Net 30,Mortenson,Gensler,WSP,3317700.188,1.021
PRJ-2021-273,Portland High School - New Construction,3323000,2021-01-22,2021-11-15,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,3678923.531,1.107
PRJ-2021-274,Kansas City Colocation Facility - HVAC,14505000,2021-03-20,2022-07-11,0.1,Net 30,Turner Construction,HKS,ARUP,15602326.426,1.076
PRJ-2021-275,Las Vegas Residential Tower - HVAC Systems,17258000,2021-03-28,2021-11-09,0.1,Net 30,DPR Construction,HOK,Henderson Engineers,17537530.27,1.016
PRJ-2021-276,Columbus Regional Medical Center - HVAC Upgrade,39364000,2021-03-19,2022-11-09,0.1,Net 30,JE Dunn,Perkins&Will,WSP,46222527.012,1.174
PRJ-2021-277,Houston Business Center - MEP Systems,11417000,2021-02-06,2021-10-18,0.1,Net 30,Turner Construction,Perkins&Will,WSP,11464537.1,1.004
PRJ-2021-278,Boston Middle School - HVAC Systems,7335000,2021-01-26,2022-06-17,0.1,Net 30,Skanska USA,Gensler,ARUP,8388822.641,1.144
PRJ-2021-279,Baltimore Data Center - Precision Cooling Systems,6492000,2021-02-19,2022-05-08,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,6791974.51,1.046
PRJ-2021-280,Denver Apartment Complex - MEP,17061000,2021-01-05,2023-01-10,0.1,Net 30,Turner Construction,HOK,WSP,16612144.591,0.974
PRJ-2021-281,Houston Regional Medical Center - HVAC Upgrade,43539000,2021-02-17,2022-03-22,0.1,Net 30,JE Dunn,Gensler,AEI,47715417.303,1.096
PRJ-2021-282,Louisville Corporate Campus - HVAC Systems,20659000,2021-03-04,2022-09-01,0.1,Net 30,Skanska USA,SmithGroup,WSP,21494835.398,1.04
PRJ-2021-283,Richmond High School - New Construction,3010000,2021-01-11,2022-09-14,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,3105362.185,1.032
PRJ-2021-284,Richmond Cloud Campus Phase 1 - Cooling,6507000,2021-02-27,2022-05-21,0.1,Net 30,Turner Construction,SmithGroup,WSP,6370849.415,0.979
PRJ-2021-285,Atlanta Mixed-Income Housing - Climate Control,6250000,2021-03-12,2022-05-26,0.1,Net 30,Mortenson,SmithGroup,AEI,6354359.324,1.017
PRJ-2021-286,Chicago Hospital - Mechanical Systems Renovation,33113000,2021-01-12,2022-08-09,0.1,Net 30,JE Dunn,Gensler,AEI,37032265.937,1.118
PRJ-2021-287,Minneapolis Corporate Campus - HVAC Systems,9202000,2021-02-28,2021-11-17,0.1,Net 30,Mortenson,HKS,Syska Hennessy,8902621.361,0.967
PRJ-2021-288,Indianapolis Unified School District - HVAC Modernization,9948000,2021-01-23,2022-08-23,0.1,Net 30,Mortenson,SmithGroup,Syska Hennessy,11535735.32,1.16
PRJ-2021-289,Pittsburgh Data Center - Precision Cooling Systems,18201000,2021-04-01,2023-04-28,0.1,Net 30,DPR Construction,SmithGroup,Syska Hennessy,18007114.782,0.989
PRJ-2021-290,Phoenix Mixed-Income Housing - Climate Control,17033000,2021-01-06,2022-03-11,0.1,Net 30,Turner Construction,HKS,Henderson Engineers,19333061.842,1.135
PRJ-2021-291,Columbus Hospital - Mechanical Systems Renovation,26365000,2021-02-19,2022-09-06,0.1,Net 30,JE Dunn,SmithGroup,Henderson Engineers,29791505.16,1.13
PRJ-2021-292,Chicago Corporate Campus - HVAC Systems,13023000,2021-01-05,2023-01-23,0.1,Net 30,Turner Construction,Perkins&Will,WSP,14920991.717,1.146
PRJ-2021-293,Kansas City Elementary Campus - Climate Systems,8829000,2021-02-02,2022-11-04,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,9331031.983,1.057
PRJ-2021-294,Pittsburgh Colocation Facility - HVAC,8748000,2021-03-03,2023-07-05,0.1,Net 30,Mortenson,HOK,WSP,8626128.587,0.986
PRJ-2021-295,Sacramento Apartment Complex - MEP,8337000,2021-02-17,2023-02-03,0.1,Net 30,Mortenson,SmithGroup,WSP,9022184.776,1.082
PRJ-2021-296,Richmond Hospital - Mechanical Systems Renovation,41720000,2021-01-28,2022-11-20,0.1,Net 30,Skanska USA,Gensler,ARUP,46128652.478,1.106
PRJ-2021-297,Kansas City Business Center - MEP Systems,30058000,2021-02-23,2022-01-15,0.1,Net 30,DPR Construction,Gensler,WSP,34490549.021,1.147
PRJ-2021-298,San Antonio High School - New Construction,11208000,2021-01-23,2022-08-25,0.1,Net 30,Turner Construction,Perkins&Will,AEI,12058270.632,1.076
PRJ-2021-299,Boston Colocation Facility - HVAC,8616000,2021-01-14,2022-05-29,0.1,Net 30,JE Dunn,HOK,WSP,10147023.633,1.178
PRJ-2021-300,Minneapolis Senior Living - HVAC Upgrade,12081000,2021-03-06,2021-11-07,0.1,Net 30,Turner Construction,HOK,AEI,13485942.114,1.116
PRJ-2021-301,Richmond Regional Medical Center - HVAC Upgrade,10245000,2021-01-14,2022-07-24,0.1,Net 30,Turner Construction,Perkins&Will,AEI,10436510.518,1.019
PRJ-2021-302,Pittsburgh Mixed-Use Tower - Mechanical,10296000,2021-01-30,2022-01-21,0.1,Net 30,Turner Construction,SmithGroup,AEI,11728190.565,1.139
PRJ-2021-303,Nashville Unified School District - HVAC Modernization,9518000,2021-01-27,2023-02-07,0.1,Net 30,Mortenson,HKS,Syska Hennessy,9833569.892,1.033
PRJ-2021-304,Tampa Edge Data Center - Thermal Management,4796000,2021-03-19,2022-03-12,0.1,Net 30,Mortenson,Gensler,WSP,4872218.3,1.016
PRJ-2021-305,Albuquerque Senior Living - HVAC Upgrade,7776000,2021-03-01,2022-11-21,0.1,Net 30,Skanska USA,HOK,AEI,8218552.529,1.057
PRJ-2021-306,Raleigh Regional Medical Center - HVAC Upgrade,38835000,2021-01-16,2022-09-14,0.1,Net 30,Turner Construction,HOK,Syska Hennessy,41340875.438,1.065
PRJ-2021-307,Columbus Mixed-Use Tower - Mechanical,31171000,2021-04-01,2022-06-12,0.1,Net 30,Turner Construction,HKS,ARUP,33609906.941,1.078
PRJ-2021-308,Phoenix Middle School - HVAC Systems,11781000,2021-01-06,2023-02-23,0.1,Net 30,DPR Construction,HOK,AEI,12738601.513,1.081
PRJ-2021-309,Portland Colocation Facility - HVAC,22317000,2021-02-23,2023-05-20,0.1,Net 30,Turner Construction,HKS,Henderson Engineers,25568887.609,1.146
PRJ-2021-310,Las Vegas Senior Living - HVAC Upgrade,22291000,2021-01-19,2022-01-05,0.1,Net 30,Mortenson,Gensler,AEI,23156521.431,1.039
PRJ-2021-311,Salt Lake City Regional Medical Center - HVAC Upgrade,29341000,2021-02-13,2022-04-24,0.1,Net 30,Turner Construction,HOK,AEI,32142379.455,1.095
PRJ-2021-312,Las Vegas Mixed-Use Tower - Mechanical,12270000,2021-01-01,2022-07-26,0.1,Net 30,JE Dunn,Gensler,Henderson Engineers,13059401.427000001,1.064
PRJ-2021-313,Louisville Middle School - HVAC Systems,5695000,2021-02-19,2021-11-17,0.1,Net 30,Mortenson,HKS,Henderson Engineers,5940700.361,1.043
PRJ-2021-314,Tampa Data Center - Precision Cooling Systems,6447000,2021-01-11,2022-04-06,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,7337656.407,1.138
PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,5465000,2021-03-31,2023-06-19,0.1,Net 30,Skanska USA,Gensler,WSP,6035819.632,1.104
PRJ-2021-316,Portland Medical Campus - New HVAC Installation,32547000,2021-03-22,2022-09-26,0.1,Net 30,DPR Construction,Perkins&Will,Syska Hennessy,31311822.792,0.962
PRJ-2021-317,Salt Lake City Corporate Campus - HVAC Systems,3616000,2021-01-21,2021-08-30,0.1,Net 30,JE Dunn,Perkins&Will,AEI,4082705.313,1.129
PRJ-2021-318,Boston Middle School - HVAC Systems,2373000,2021-03-14,2022-08-19,0.1,Net 30,Mortenson,Gensler,Henderson Engineers,2406769.678,1.014
PRJ-2021-319,Nashville Colocation Facility - HVAC,8085000,2021-01-12,2022-04-24,0.1,Net 30,Mortenson,HOK,ARUP,8897716.469,1.101
PRJ-2021-320,Raleigh Apartment Complex - MEP,22790000,2021-01-24,2023-05-19,0.1,Net 30,DPR Construction,Gensler,WSP,25146260.491,1.103
PRJ-2022-321,Cincinnati Regional Medical Center - HVAC Upgrade,27273000,2022-02-11,2023-05-10,0.1,Net 30,DPR Construction,HOK,Henderson Engineers,27995691.862999998,1.026
PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,4371000,2022-02-19,2024-05-18,0.1,Net 30,Mortenson,SmithGroup,ARUP,3554478.904,0.813
PRJ-2022-323,Indianapolis Unified School District - HVAC Modernization,6565000,2022-01-19,2022-12-04,0.1,Net 30,Mortenson,Perkins&Will,AEI,6806241.676,1.037
PRJ-2022-324,Houston Colocation Facility - HVAC,5373000,2022-01-01,2023-04-26,0.1,Net 30,JE Dunn,Perkins&Will,AEI,5964725.68,1.11
